Group,Lab,Leaf_Species,Week,Treatment,Replicate,Order,Family,Genus,FFG,Count
3,T,Red Maple,0,C,,Ephemeroptera,Heptageniidae,Macdunnoa ,CG,2
3,T,Red Maple,2,C,,Trichoptera ,Glossosomatidae,Glossosoma,CF,1
3,T,Red Maple,4,C,,Trichoptera,Limnephilidae ,Goera,CF,1
3,T,Red Maple,4,C,,Ephemeroptera,Heptageniidae,Macdunnoa ,CG,2
2,T,American Sycamore,4,C,1,Trichoptera,Philopotamidae,Chimarra,CF,1
2,T,American Sycamore,4,C,2,Amphipoda,Talitridae,Hyalella,CG,1
2,T,American Sycamore,2,C,3,Odonata,Calopterygidae,Caleopteryx,P,1
2,T,Black Walnut,2,C,2,Coleoptera,Dytiscidae,Agabus,P,2
2,T,American Sycamore,6,C,1,Decapoda,Cambaridae,Cambarus,CG,1
2,T,American Sycamore,4,C,1,Ephemeroptera,Caenidae,Caenis,CG,1
2,T,American Sycamore,6,C,3,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,4
2,T,American Sycamore,6,C,3,Plecoptera,Chloroperlidae,Haploperla,P,2
2,T,American Sycamore,6,C,3,Trichoptera,Philopotamidae,Chimarra,CF,2
2,T,American Sycamore,6,C,2,Ephemeroptera,Leptohyphidae,Tricorythodes,CG,1
2,T,Black Walnut,6,C,3,Decapoda,Cambaridae,Cambarus,CG,1
4,T,American Sycamore,4,C,2,Decapoda,Astacidae,,CG,1
4,T,American Sycamore,2,C,3,Ephemeroptera,Heptageniidae,Stenonema,SC,5
4,T,American Sycamore,2,C,2,Ephemeroptera,Leptohyphidae,Tricorythodes,CG,2
4,T,American Sycamore,2,C,1,Ephemeroptera,Heptageniidae,Stenonema,SC,2
4,T,Black Walnut,2,C,3,Trichoptera,Hydropsychidae,Hydropsyche,CF,1
4,T,American Sycamore,2,C,2,Plecoptera,Perlidae,Agnetina,P,1
4,T,American Sycamore,2,C,1,Megaloptera,Sialidae,Sialis,P,1
4,T,American Sycamore,2,C,2,Plecoptera,Nemouridae,Amphinemura,SH,1
4,T,American Sycamore,2,C,1,Trichoptera,Hydropsychidae,Hydropsyche,SC,1
4,T,American Sycamore,2,F,2,Trichoptera,Hydropsychidae,Diplectrona,CF,2
4,T,American Sycamore,2,F,2,Ephemeroptera,Heptageniidae,Stenonema,SC,1
4,T,Black Walnut,2,F,2,Trichoptera,Hydropsychidae,Macrostemum,CF,1
4,T,Black Walnut,2,F,1,Ephemeroptera,Heptageniidae,Stenonema,SC,1
4,T,Black Walnut,2,F,1,Trichoptera,Hydropsychidae,Hydropsyche,SC,3
4,T,Black Walnut,2,F,1,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,2
4,T,Black Walnut,2,F,1,Gastropoda,Physidae,Physa,CG,1
4,T,American Sycamore,2,F,1,Ephemeroptera,Heptageniidae,Stenonema,SC,1
4,T,American Sycamore,2,C,2,Ephemeroptera,Caenidae,Caenis,CG,1
4,T,American Sycamore,2,F,1,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,1
4,T,Black Walnut,2,C,2,Ephemeroptera,Isonychiidae,Isonychia,CF,1
4,T,Black Walnut,2,C,2,Trichoptera,Helicopsychidae,Helicopsyche,SC,1
4,T,Black Walnut,2,C,2,Ephemeroptera,Leptophlebiidae,Habrophlebia,CG,1
4,T,Black Walnut,2,C,2,Plecoptera,Perlidae,Paragnetina,P,1
4,T,Black Walnut,2,C,2,Ephemeroptera,Heptageniidae,Stenonema,SC,3
4,T,Black Walnut,2,C,2,Trichoptera,Hydropsychidae,Hydropsyche,CF,6
4,T,Black Walnut,2,C,2,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,1
4,T,Black Walnut,2,C,2,Trichoptera,Hydropsychidae,Diplectrona,CF,1
4,T,American Sycamore,2,C,2,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,2
4,T,American Sycamore,4,C,3,Trichoptera,Hydropsychidae,Hydropsyche,SC,2
4,T,American Sycamore,4,C,3,Plecoptera,Perlodidae,Isoperla,P,1
4,T,American Sycamore,4,C,3,Diptera,Chironomidae,Chironomus,P,3
4,T,American Sycamore,4,C,3,Trichoptera,Hydropsychidae,Hydropsyche,CF,1
4,T,American Sycamore,6,c,3,Megaloptera,Corydalidae,Nigronia,P,1
4,T,American Sycamore,6,C,3,Plecoptera,Capniidae,Allocapnia,SH,2
4,T,American Sycamore,6,C,3,Trichoptera,Hydropsychidae,Hydropsyche,CF,1
4,T,American Sycamore,6,C,1,Trichoptera,Hydropsychidae,Hydropsyche,CF,1
4,T,American Sycamore,6,C,1,Ephemeroptera,Heptageniidae,Epeorus,SC,1
4,T,American Sycamore,6,C,1,Plecoptera,Capniidae,Allocapnia,SH,7
4,T,Black Walnut,4,C,3,Trichoptera,Hydropsychidae,Cheumatopsyche,CF,2
4,T,Black Walnut,4,C,2,Trichoptera,Hydropsychidae,Hydropsyche,CF,4
4,T,Black Walnut,4,C,2,Ephemeroptera,Caenidae,Caenis,CG,1
4,T,Black Walnut,4,C,3,Plecoptera,Capniidae,Allocapnia,SH,1
