Group,Species,Replicate,Treatment,Week,Initial_Mass,Dried_Mass,Proportion
1,Red Maple,1,C,0,3,2.8,0.933333333
1,Red Maple,2,C,0,3,2.7,0.9
1,Red Maple,3,C,0,2.9,2.7,0.931034483
1,Red Maple,1,C,2,3,1.34,0.446666667
1,Red Maple,2,C,2,3,1.1,0.366666667
1,Red Maple,3,C,2,3,1.33,0.443333333
1,Red Maple,1,C,4,3,1.48,0.493333333
1,Red Maple,2,C,4,3,1.47,0.49
1,Red Maple,3,C,4,3,1.65,0.55
1,Red Maple,1,C,6,3,1.09,0.363333333
1,Red Maple,2,C,6,3,0.74,0.246666667
1,Red Maple,3,C,6,3,0.86,0.286666667
1,Wild Grape,1,C,0,3,2.5,0.833333333
1,Wild Grape,2,C,0,2.9,2.7,0.931034483
1,Wild Grape,3,C,0,3.1,2.4,0.774193548
1,Wild Grape,1,C,2,3,0.26,0.086666667
1,Wild Grape,2,C,2,3,0.86,0.286666667
1,Wild Grape,3,C,2,3.1,0.64,0.206451613
1,Wild Grape,1,C,4,3,0.8,0.266666667
1,Wild Grape,2,C,4,3,0,0
1,Wild Grape,3,C,4,3.1,0,0
1,Wild Grape,1,C,6,3.1,0,0
1,Wild Grape,2,C,6,3.1,0.01,0.003225806
1,Wild Grape,3,C,6,3.1,0.39,0.125806452
1,Red Maple,1,F,2,3,1.16,0.386666667
1,Red Maple,2,F,2,2.9,1.19,0.410344828
1,Red Maple,1,F,4,3,1.69,0.563333333
1,Red Maple,1,F,6,2.9,0.8,0.275862069
1,Red Maple,2,F,6,2.9,0.79,0.272413793
1,Wild Grape,1,F,2,3,1.17,0.39
1,Wild Grape,2,F,2,3,0.93,0.31
1,Wild Grape,1,F,4,3.1,1.29,0.416129032
1,Wild Grape,1,F,6,3,0.25,0.083333333
1,Wild Grape,2,F,6,3,0.6,0.2
1,Wild Grape,1,L,0,3,2.44,0.813333333
1,Red Maple,1,L,0,3,2.5,0.833333333
2,American Sycamore,1,C,0,2.95,2.69,0.911864407
2,American Sycamore,2,C,0,2.97,2.55,0.858585859
2,American Sycamore,3,C,0,3.03,3.39,1.118811881
2,American Sycamore,1,C,2,2.95,1.86,0.630508475
2,American Sycamore,2,C,2,2.99,1.9,0.635451505
2,American Sycamore,3,C,2,2.94,1.55,0.527210884
2,American Sycamore,1,C,4,2.94,2.85,0.969387755
2,American Sycamore,2,C,4,3.05,2.6,0.852459016
2,American Sycamore,3,C,4,3.02,2.5,0.82781457
2,American Sycamore,1,C,6,2.94,2.27,0.772108844
2,American Sycamore,2,C,6,2.96,2.51,0.847972973
2,American Sycamore,3,C,6,3.02,2.72,0.900662252
2,Black Walnut,1,C,0,3,2.7,0.9
2,Black Walnut,2,C,0,2.96,2.62,0.885135135
2,Black Walnut,3,C,0,2.99,2.52,0.842809365
2,Black Walnut,1,C,2,3.01,1.79,0.594684385
2,Black Walnut,2,C,2,2.97,1.64,0.552188552
2,Black Walnut,3,C,2,2.98,1.93,0.647651007
2,Black Walnut,1,C,4,3.02,1.37,0.453642384
2,Black Walnut,2,C,4,3.05,0.74,0.242622951
2,Black Walnut,3,C,4,3.03,1.93,0.636963696
2,Black Walnut,1,C,6,2.94,0.68,0.231292517
2,Black Walnut,2,C,6,2.98,0,0
2,Black Walnut,3,C,6,2.95,1.9,0.644067797
2,American Sycamore,1,F,2,3.08,1.61,0.522727273
2,American Sycamore,2,F,2,3.02,1.73,0.572847682
2,American Sycamore,1,F,4,2.96,2.39,0.807432432
2,American Sycamore,1,F,6,3.04,2.49,0.819078947
2,American Sycamore,2,F,6,3.08,2.3,0.746753247
2,Black Walnut,1,F,2,2.98,1.78,0.597315436
2,Black Walnut,2,F,2,2.92,1.54,0.52739726
2,Black Walnut,1,F,4,3.06,2.28,0.745098039
2,Black Walnut,1,F,6,3,2.05,0.683333333
2,Black Walnut,2,F,6,3.07,2.31,0.752442997
2,American Sycamore,1,L,0,3.02,2.75,0.910596026
