Leaf Species,Lab (T/W),# Days in Stream,Treatment,Rebar #,Initial Dry Mass (g),Final Dry Mass (g),Proportion of Initial Dry Mass (Uncorrected),Handling Correction Factor,Corrected Proportion Initial Dry Mass,ln (Corr Prop Initial Dry Mass)
American Beech,T,0,Fine,,,,,,1,0
American Beech,T,0,Coarse,,,,,,1,0
Eastern Cottonwood,T,0,Fine,,,,,,1,0
Eastern Cottonwood,T,0,Coarse,,,,,,1,0
American Beech,T,42,Fine,2,2.99,1.99,0.665551839,1,0.665551839,-0.407138749
American Beech,T,14,Coarse,1,3,2.45,0.816666667,1.203257477,0.982660273,-0.017491821
American Beech,T,14,Coarse,2,3.01,2.22,0.737541528,1.203257477,0.887452359,-0.119400439
American Beech,T,14,Coarse,3,2.97,2.1,0.707070707,1.203257477,0.850788115,-0.161592165
American Beech,T,28,Coarse,1,3.01,1.87,0.621262458,1.203257477,0.747538699,-0.290969204
American Beech,T,28,Coarse,2,2.92,1.98,0.678082192,1.203257477,0.815907468,-0.203454328
American Beech,T,28,Coarse,3,2.96,2.01,0.679054054,1.203257477,0.817076868,-0.202022103
American Beech,T,42,Coarse,1,2.99,1.91,0.638795987,1.203257477,0.768636047,-0.263137702
American Beech,T,42,Coarse,2,2.97,2.11,0.71043771,1.203257477,0.854839487,-0.156841562
American Beech,T,42,Coarse,3,2.99,1.77,0.591973244,1.203257477,0.712296232,-0.339261397
Eastern Cottonwood,T,14,Fine,1,3.09,2.22,0.718446602,1,0.718446602,-0.330663895
Eastern Cottonwood,T,14,Fine,2,3.04,2.09,0.6875,1,0.6875,-0.374693449
Eastern Cottonwood,T,28,Fine,1,3.01,2.27,0.754152824,1,0.754152824,-0.282160247
Eastern Cottonwood,T,42,Fine,1,2.97,1.71,0.575757576,1,0.575757576,-0.552068582
Eastern Cottonwood,T,42,Fine,2,3.06,2.17,0.709150327,1,0.709150327,-0.343687748
Eastern Cottonwood,T,14,Coarse,1,3,2.13,0.71,1.133670487,0.804906046,-0.217029722
Eastern Cottonwood,T,14,Coarse,2,3.07,2.18,0.71009772,1.133670487,0.805016828,-0.216892098
Eastern Cottonwood,T,14,Coarse,3,2.99,2.3,0.769230769,1.133670487,0.872054221,-0.136903677
Eastern Cottonwood,T,28,Coarse,1,3.05,1.73,0.567213115,1.133670487,0.643032768,-0.441559595
Eastern Cottonwood,T,28,Coarse,2,2.95,1.88,0.637288136,1.133670487,0.722474751,-0.325072806
Eastern Cottonwood,T,28,Coarse,3,3.05,1.8,0.590163934,1.133670487,0.669051435,-0.401894339
Eastern Cottonwood,T,42,Coarse,1,3.08,1.49,0.483766234,1.133670487,0.548431502,-0.60069289
Eastern Cottonwood,T,42,Coarse,2,3.07,1.77,0.576547231,1.133670487,0.65361458,-0.425237428
Eastern Cottonwood,T,42,Coarse,3,3.05,2.3,0.754098361,1.133670487,0.854899056,-0.156771881
